"Gene ID","source_id","Computed GO Component IDs","Computed GO Components","Computed GO Functions","Computed GO Function IDs","Computed GO Process IDs","Computed GO Processes"
"TGGT1_265770","TGGT1_265770-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"TGGT1_265790","TGGT1_265790-t26_1","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A"
"TGGT1_266080","TGGT1_266080-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"TGGT1_266100","TGGT1_266100-t26_1","N/A","N/A","ATP binding;protein kinase activity;protein serine/threonine kinase activity","GO:0005524;GO:0004672;GO:0004674","GO:0006468","protein phosphorylation"
"TGGT1_266120","TGGT1_266120-t26_1","GO:0020011;GO:0005737;GO:0005739","apicoplast;cytoplasm;mitochondrion","glutathione peroxidase activity;peroxiredoxin activity","GO:0004602;GO:0051920","GO:0055114;GO:0006979","obsolete oxidation-reduction process;response to oxidative stress"
"TGGT1_266320","TGGT1_266320-t26_1","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A"
"TGGT1_266710","TGGT1_266710-t26_1","N/A","N/A","ATP binding;MAP kinase kinase activity;protein kinase activity","GO:0005524;GO:0004708;GO:0004672","GO:0006468","protein phosphorylation"
"TGGT1_266740","TGGT1_266740-t26_1","N/A","N/A","RNA binding;nucleic acid binding","GO:0003723;GO:0003676","N/A","N/A"
"TGGT1_266800","TGGT1_266800-t26_1","GO:0016021;GO:0005623","integral component of membrane;obsolete cell","manganese ion transmembrane transporter activity","GO:0005384","GO:0030026","cellular manganese ion homeostasis"
"TGGT1_266830","TGGT1_266830-t26_1","GO:0005622","intracellular anatomical structure","ARF guanyl-nucleotide exchange factor activity;GTPase activator activity","GO:0005086;GO:0005096","GO:0032012;GO:0043087","regulation of ARF protein signal transduction;regulation of GTPase activity"
"TGGT1_266910","TGGT1_266910-t26_1","N/A","N/A","ATP binding;RNA polymerase II CTD heptapeptide repeat kinase activity;protein kinase activity","GO:0005524;GO:0008353;GO:0004672","GO:0006468","protein phosphorylation"
"TGGT1_266940","TGGT1_266940-t26_1","GO:0016021","integral component of membrane","palmitoyltransferase activity;zinc ion binding","GO:0016409;GO:0008270","N/A","N/A"
"TGGT1_267370","TGGT1_267370-t26_1","N/A","N/A","ATP binding;microtubule binding;microtubule motor activity","GO:0005524;GO:0008017;GO:0003777","GO:0007018","microtubule-based movement"
"TGGT1_267620","TGGT1_267620-t26_1","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A"
"TGGT1_267700","TGGT1_267700-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"TGGT1_267740","TGGT1_267740-t26_1","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A"
"TGGT1_268210","TGGT1_268210-t26_1","N/A","N/A","AMP-activated protein kinase activity;ATP binding;cAMP-dependent protein kinase activity;protein kinase activity","GO:0004679;GO:0005524;GO:0004691;GO:0004672","GO:0006468","protein phosphorylation"
"TGGT1_268590","TGGT1_268590-t26_1","GO:0016021;GO:0005886","integral component of membrane;plasma membrane","serine-type endopeptidase activity","GO:0004252","GO:0006508","proteolysis"
"TGGT1_268850","TGGT1_268850-t26_1","GO:0005737;GO:0005634;GO:0000015","cytoplasm;nucleus;phosphopyruvate hydratase complex","magnesium ion binding;phosphopyruvate hydratase activity","GO:0000287;GO:0004634","GO:0006096","glycolytic process"
"TGGT1_268860","TGGT1_268860-t26_1","GO:0005737;GO:0005634;GO:0000015","cytoplasm;nucleus;phosphopyruvate hydratase complex","magnesium ion binding;phosphopyruvate hydratase activity","GO:0000287;GO:0004634","GO:0006096","glycolytic process"
"TGGT1_269150","TGGT1_269150-t26_1","GO:0016021","integral component of membrane","palmitoyltransferase activity;protein-cysteine S-palmitoyltransferase activity;zinc ion binding","GO:0016409;GO:0019706;GO:0008270","N/A","N/A"
"TGGT1_269290","TGGT1_269290-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"TGGT1_269330","TGGT1_269330-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"TGGT1_269442","TGGT1_269442-t26_1","N/A","N/A","calcium ion binding","GO:0005509","N/A","N/A"
"TGGT1_269460","TGGT1_269460-t26_1","N/A","N/A","calcium ion binding;hydrolase activity;phosphoprotein phosphatase activity","GO:0005509;GO:0016787;GO:0004721","N/A","N/A"
"TGGT1_269700","TGGT1_269700-t26_1","N/A","N/A","RNA polymerase II CTD heptapeptide repeat phosphatase activity;phosphoprotein phosphatase activity;protein binding","GO:0008420;GO:0004721;GO:0005515","GO:0070940","dephosphorylation of RNA polymerase II C-terminal domain"
"TGGT1_269950","TGGT1_269950-t26_1","GO:0005623","obsolete cell","flavin-linked sulfhydryl oxidase activity","GO:0016971","GO:0045454","cell redox homeostasis"
"TGGT1_269960","TGGT1_269960-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"TGGT1_270240","TGGT1_270240-t26_1","GO:0020003","symbiont-containing vacuole","N/A","N/A","N/A","N/A"
"TGGT1_270360","TGGT1_270360-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"TGGT1_270370","TGGT1_270370-t26_1","GO:0016020","membrane","N/A","N/A","GO:0006886;GO:0015031","intracellular protein transport;protein transport"
"TGGT1_270690","TGGT1_270690-t26_1","N/A","N/A","GTP binding;GTPase activity;aminoacyl-tRNA ligase activity","GO:0005525;GO:0003924;GO:0004812","N/A","N/A"
"TGGT1_270865","TGGT1_270865-t26_1","N/A","N/A","adenylate cyclase activity;phosphorus-oxygen lyase activity","GO:0004016;GO:0016849","GO:0009190;GO:0035556","cyclic nucleotide biosynthetic process;intracellular signal transduction"
"TGGT1_270920","TGGT1_270920-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"TGGT1_271050","TGGT1_271050-t26_1","GO:0016020;GO:0005886","membrane;plasma membrane","N/A","N/A","N/A","N/A"
"TGGT1_271060","TGGT1_271060-t26_1","N/A","N/A","N/A","N/A","GO:0006904;GO:0016192","vesicle docking involved in exocytosis;vesicle-mediated transport"
"TGGT1_271780","TGGT1_271780-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"TGGT1_271880","TGGT1_271880-t26_1","GO:0005622","intracellular anatomical structure","zinc ion binding","GO:0008270","N/A","N/A"
"TGGT1_271930","TGGT1_271930-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"TGGT1_271960","TGGT1_271960-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"TGGT1_272200","TGGT1_272200-t26_1","N/A","N/A","AMP-activated protein kinase activity;ATP binding;cAMP-dependent protein kinase activity;calcium-dependent protein kinase C activity;protein kinase C activity;protein kinase activity","GO:0004679;GO:0005524;GO:0004691;GO:0004698;GO:0004697;GO:0004672","GO:0006468","protein phosphorylation"
"TGGT1_272320","TGGT1_272320-t26_1","GO:0016021","integral component of membrane","palmitoyltransferase activity;protein binding;zinc ion binding","GO:0016409;GO:0005515;GO:0008270","N/A","N/A"
"TGGT1_272460","TGGT1_272460-t26_1","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A"
"TGGT1_272600","TGGT1_272600-t26_1","GO:0030131;GO:0030117","clathrin adaptor complex;membrane coat","N/A","N/A","GO:0006886;GO:0016192","intracellular protein transport;vesicle-mediated transport"
"TGGT1_273050","TGGT1_273050-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"TGGT1_273500","TGGT1_273500-t26_1","N/A","N/A","protein binding;transferase activity","GO:0005515;GO:0016740","N/A","N/A"
"TGGT1_273540","TGGT1_273540-t26_1","GO:0016021","integral component of membrane","N/A","N/A","GO:0006659","phosphatidylserine biosynthetic process"
"TGGT1_273560","TGGT1_273560-t26_1","N/A","N/A","ATP binding;microtubule binding;microtubule motor activity","GO:0005524;GO:0008017;GO:0003777","GO:0007018","microtubule-based movement"
"TGGT1_273610","TGGT1_273610-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"TGGT1_273620","TGGT1_273620-t26_1","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A"
"TGGT1_273850","TGGT1_273850-t26_1","GO:0005643","nuclear pore","structural constituent of nuclear pore","GO:0017056","N/A","N/A"
"TGGT1_273905","TGGT1_273905-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"TGGT1_274120","TGGT1_274120-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"TGGT1_274130","TGGT1_274130-t26_1","GO:0005622","intracellular anatomical structure","GTPase activator activity","GO:0005096","GO:0043087","regulation of GTPase activity"
"TGGT1_274160","TGGT1_274160-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"TGGT1_274170","TGGT1_274170-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"TGGT1_275350","TGGT1_275350-t26_1","GO:0005622","intracellular anatomical structure","GTPase activator activity","GO:0005096","GO:0043087","regulation of GTPase activity"
"TGGT1_275420","TGGT1_275420-t26_1","N/A","N/A","flavin adenine dinucleotide binding;metal ion binding;methyltransferase activity;oxidoreductase activity;polyamine oxidase activity","GO:0050660;GO:0046872;GO:0008168;GO:0016491;GO:0046592","GO:0032259;GO:0055114;GO:0008033","methylation;obsolete oxidation-reduction process;tRNA processing"
"TGGT1_275470","TGGT1_275470-t26_1","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A"
"TGGT1_275490","TGGT1_275490-t26_1","GO:0005643","nuclear pore","structural constituent of nuclear pore","GO:0017056","N/A","N/A"
"TGGT1_275780","TGGT1_275780-t26_1","N/A","N/A","protein binding","GO:0005515","N/A","N/A"
"TGGT1_276890","TGGT1_276890-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"TGGT1_277720","TGGT1_277720-t26_1","N/A","N/A","ATP binding;hydrolase activity;nucleoside-triphosphatase activity","GO:0005524;GO:0016787;GO:0017111","N/A","N/A"
"TGGT1_277840","TGGT1_277840-t26_1","GO:0016020","membrane","GTP binding;GTPase activity","GO:0005525;GO:0003924","GO:0007165;GO:0007264","signal transduction;small GTPase mediated signal transduction"
"TGGT1_277895","TGGT1_277895-t26_1","N/A","N/A","obsolete ubiquitin thiolesterase activity;thiol-dependent ubiquitinyl hydrolase activity","GO:0004221;GO:0036459","GO:0016579;GO:0006511","protein deubiquitination;ubiquitin-dependent protein catabolic process"
"TGGT1_277940","TGGT1_277940-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"TGGT1_277990","TGGT1_277990-t26_1","N/A","N/A","deubiquitinase activity;nucleic acid binding;thiol-dependent deubiquitinase","GO:0101005;GO:0003676;GO:0004843","GO:0016579;GO:0030433","protein deubiquitination;ubiquitin-dependent ERAD pathway"
"TGGT1_278130","TGGT1_278130-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"TGGT1_278660","TGGT1_278660-t26_1","GO:0016021","integral component of membrane","ATP binding;P-type calcium transporter activity;catalytic activity;hydrolase activity;metal ion binding;nucleotide binding","GO:0005524;GO:0005388;GO:0003824;GO:0016787;GO:0046872;GO:0000166","GO:0008152","metabolic process"
"TGGT1_278780","TGGT1_278780-t26_1","N/A","N/A","protein binding","GO:0005515","N/A","N/A"
"TGGT1_278815","TGGT1_278815-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"TGGT1_278850","TGGT1_278850-t26_1","GO:0016021","integral component of membrane","palmitoyltransferase activity;protein-cysteine S-palmitoyltransferase activity;zinc ion binding","GO:0016409;GO:0019706;GO:0008270","N/A","N/A"
"TGGT1_278975","TGGT1_278975-t26_1","N/A","N/A","cysteine-type endopeptidase activity;peptidase activity","GO:0004197;GO:0008233","GO:0006508","proteolysis"
"TGGT1_279420","TGGT1_279420-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"TGGT1_280390","TGGT1_280390-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"TGGT1_280570","TGGT1_280570-t26_1","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A"
"TGGT1_281430","TGGT1_281430-t26_1","N/A","N/A","ATP binding;calmodulin-dependent protein kinase activity;protein kinase activity;protein serine/threonine kinase activity","GO:0005524;GO:0004683;GO:0004672;GO:0004674","GO:0006468","protein phosphorylation"
"TGGT1_281440","TGGT1_281440-t26_1","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A"
"TGGT1_281450","TGGT1_281450-t26_1","N/A","N/A","ATP binding;RNA polymerase II CTD heptapeptide repeat kinase activity;protein kinase activity","GO:0005524;GO:0008353;GO:0004672","GO:0006468","protein phosphorylation"
"TGGT1_281675","TGGT1_281675-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"TGGT1_282070","TGGT1_282070-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"TGGT1_283480","TGGT1_283480-t26_1","N/A","N/A","ATP binding;protein kinase activity;protein serine/threonine/tyrosine kinase activity","GO:0005524;GO:0004672;GO:0004712","GO:0006468","protein phosphorylation"
"TGGT1_283510","TGGT1_283510-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"TGGT1_283890","TGGT1_283890-t26_1","N/A","N/A","methyltransferase activity","GO:0008168","GO:0032259","methylation"
"TGGT1_284170","TGGT1_284170-t26_1","GO:0016021","integral component of membrane","palmitoyltransferase activity","GO:0016409","N/A","N/A"
"TGGT1_284190","TGGT1_284190-t26_1","N/A","N/A","ATP binding;biotin binding;catalytic activity;metal ion binding;pyruvate carboxylase activity","GO:0005524;GO:0009374;GO:0003824;GO:0046872;GO:0004736","GO:0006094;GO:0006090","gluconeogenesis;pyruvate metabolic process"
"TGGT1_284620","TGGT1_284620-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"TGGT1_285160","TGGT1_285160-t26_1","N/A","N/A","ATP binding;RNA polymerase II CTD heptapeptide repeat kinase activity;protein kinase activity","GO:0005524;GO:0008353;GO:0004672","GO:0006468","protein phosphorylation"
"TGGT1_285730","TGGT1_285730-t26_1","GO:0005622","intracellular anatomical structure","GTPase activator activity","GO:0005096","GO:0043087","regulation of GTPase activity"
"TGGT1_285780","TGGT1_285780-t26_1","GO:0005815;GO:0000922","microtubule organizing center;spindle pole","gamma-tubulin binding","GO:0043015","GO:0007020","microtubule nucleation"
"TGGT1_285990","TGGT1_285990-t26_1","N/A","N/A","protein binding","GO:0005515","N/A","N/A"
"TGGT1_286030","TGGT1_286030-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"TGGT1_286450","TGGT1_286450-t26_1","GO:0045177;GO:0016021;GO:0020003","apical part of cell;integral component of membrane;symbiont-containing vacuole","N/A","N/A","N/A","N/A"
"TGGT1_286470","TGGT1_286470-t26_1","N/A","N/A","AMP-activated protein kinase activity;ATP binding;cAMP-dependent protein kinase activity;protein kinase activity;protein serine/threonine kinase activity","GO:0004679;GO:0005524;GO:0004691;GO:0004672;GO:0004674","GO:0006468","protein phosphorylation"
"TGGT1_286580","TGGT1_286580-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"TGGT1_286600","TGGT1_286600-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"TGGT1_286710","TGGT1_286710-t26_1","N/A","N/A","nucleic acid binding","GO:0003676","N/A","N/A"
"TGGT1_287040","TGGT1_287040-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"TGGT1_287970","TGGT1_287970-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"TGGT1_288380","TGGT1_288380-t26_1","GO:0005737;GO:0005634","cytoplasm;nucleus","ATP binding;unfolded protein binding","GO:0005524;GO:0051082","GO:0006457;GO:0006950","protein folding;response to stress"
"TGGT1_288440","TGGT1_288440-t26_1","N/A","N/A","ATP binding;MAP kinase kinase activity;phosphorelay response regulator activity;protein kinase activity","GO:0005524;GO:0004708;GO:0000156;GO:0004672","GO:0000160;GO:0006468;GO:0006355","phosphorelay signal transduction system;protein phosphorylation;regulation of transcription, DNA-templated"
"TGGT1_288600","TGGT1_288600-t26_1","N/A","N/A","protein binding","GO:0005515","N/A","N/A"
"TGGT1_288650","TGGT1_288650-t26_1","GO:0045177;GO:0020003","apical part of cell;symbiont-containing vacuole","N/A","N/A","N/A","N/A"
"TGGT1_288840","TGGT1_288840-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"TGGT1_288890","TGGT1_288890-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"TGGT1_289050","TGGT1_289050-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"TGGT1_289100","TGGT1_289100-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"TGGT1_289170","TGGT1_289170-t26_1","GO:0016021;GO:0016020","integral component of membrane;membrane","ion channel activity;phosphorus-oxygen lyase activity","GO:0005216;GO:0016849","GO:0009190;GO:0035556;GO:0006811;GO:0055085","cyclic nucleotide biosynthetic process;intracellular signal transduction;ion transport;transmembrane transport"
"TGGT1_289320","TGGT1_289320-t26_1","N/A","N/A","ATP binding;non-membrane spanning protein tyrosine kinase activity;protein kinase activity;protein serine/threonine kinase activity","GO:0005524;GO:0004715;GO:0004672;GO:0004674","GO:0006468","protein phosphorylation"
"TGGT1_289380","TGGT1_289380-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"TGGT1_289540","TGGT1_289540-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"TGGT1_289680","TGGT1_289680-t26_1","GO:0045177;GO:0005737;GO:0005622;GO:0005634","apical part of cell;cytoplasm;intracellular anatomical structure;nucleus","GTP binding;GTPase activity","GO:0005525;GO:0003924","GO:0007264","small GTPase mediated signal transduction"
"TGGT1_289700","TGGT1_289700-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"TGGT1_289710","TGGT1_289710-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"TGGT1_289770","TGGT1_289770-t26_1","GO:0005794;GO:0045177;GO:0030131","Golgi apparatus;apical part of cell;clathrin adaptor complex","protein binding","GO:0005515","GO:0006886;GO:0016192","intracellular protein transport;vesicle-mediated transport"
"TGGT1_289790","TGGT1_289790-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"TGGT1_289820","TGGT1_289820-t26_1","GO:0005622","intracellular anatomical structure","GTPase activator activity","GO:0005096","GO:0043087","regulation of GTPase activity"
"TGGT1_289910","TGGT1_289910-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"TGGT1_290160","TGGT1_290160-t26_1","GO:0005794;GO:0016021","Golgi apparatus;integral component of membrane","protein binding","GO:0005515","N/A","N/A"
"TGGT1_290170","TGGT1_290170-t26_1","N/A","N/A","hydrolase activity;phosphoprotein phosphatase activity;protein binding","GO:0016787;GO:0004721;GO:0005515","GO:0009742","brassinosteroid mediated signaling pathway"
"TGGT1_290180","TGGT1_290180-t26_1","N/A","N/A","DNA-binding transcription factor activity","GO:0003700","GO:0006355","regulation of transcription, DNA-templated"
"TGGT1_290620","TGGT1_290620-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"TGGT1_290720","TGGT1_290720-t26_1","GO:0016021;GO:0033179;GO:0033177","integral component of membrane;proton-transporting V-type ATPase, V0 domain;proton-transporting two-sector ATPase complex, proton-transporting domain","proton transmembrane transporter activity","GO:0015078","GO:1902600","proton transmembrane transport"
"TGGT1_290860","TGGT1_290860-t26_1","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A"
"TGGT1_291040","TGGT1_291040-t26_1","GO:0005737","cytoplasm","L-lactate dehydrogenase activity;catalytic activity;oxidoreductase activity;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","GO:0004459;GO:0003824;GO:0016491;GO:0016616","GO:0005975;GO:0019752;GO:0055114","carbohydrate metabolic process;carboxylic acid metabolic process;obsolete oxidation-reduction process"
"TGGT1_291050","TGGT1_291050-t26_1","N/A","N/A","ATP binding;myosin light chain kinase activity;protein kinase activity","GO:0005524;GO:0004687;GO:0004672","GO:0006468","protein phosphorylation"
"TGGT1_291640","TGGT1_291640-t26_1","N/A","N/A","amino acid binding;aspartate carbamoyltransferase activity;carboxyl- or carbamoyltransferase activity","GO:0016597;GO:0004070;GO:0016743","GO:0006207;GO:0006520","'de novo' pyrimidine nucleobase biosynthetic process;cellular amino acid metabolic process"
"TGGT1_291880","TGGT1_291880-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"TGGT1_291930","TGGT1_291930-t26_1","N/A","N/A","RNA binding;nucleic acid binding","GO:0003723;GO:0003676","N/A","N/A"
"TGGT1_291960","TGGT1_291960-t26_1","N/A","N/A","kinase activity","GO:0016301","N/A","N/A"
"TGGT1_292055","TGGT1_292055-t26_1","N/A","N/A","ATP binding;MAP kinase kinase kinase activity;calcium ion binding;myosin light chain kinase activity;protein kinase activity","GO:0005524;GO:0004709;GO:0005509;GO:0004687;GO:0004672","GO:0006468","protein phosphorylation"
"TGGT1_292110","TGGT1_292110-t26_1","GO:0016021;GO:0016020","integral component of membrane;membrane","transmembrane transporter activity;transporter activity","GO:0022857;GO:0005215","GO:0055085;GO:0006810","transmembrane transport;transport"
"TGGT1_292120","TGGT1_292120-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"TGGT1_292140","TGGT1_292140-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"TGGT1_292170","TGGT1_292170-t26_1","N/A","N/A","methyltransferase activity;protein binding","GO:0008168;GO:0005515","GO:0032259","methylation"
"TGGT1_292950","TGGT1_292950-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"TGGT1_292975","TGGT1_292975-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"TGGT1_293190","TGGT1_293190-t26_1","N/A","N/A","endonuclease activity;exonuclease activity;inositol-1,3,4,5-tetrakisphosphate 5-phosphatase activity;inositol-1,4,5-trisphosphate 5-phosphatase activity;inositol-polyphosphate 5-phosphatase activity","GO:0004519;GO:0004527;GO:0052659;GO:0052658;GO:0004445","GO:0046856","phosphatidylinositol dephosphorylation"
"TGGT1_293220","TGGT1_293220-t26_1","GO:0016021","integral component of membrane","palmitoyltransferase activity;zinc ion binding","GO:0016409;GO:0008270","N/A","N/A"
"TGGT1_293360","TGGT1_293360-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"TGGT1_293470","TGGT1_293470-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"TGGT1_293540","TGGT1_293540-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"TGGT1_293610","TGGT1_293610-t26_1","N/A","N/A","catalytic activity;dihydroorotase activity;hydrolase activity;hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides","GO:0003824;GO:0004151;GO:0016787;GO:0016812","GO:0008152;GO:0019856","metabolic process;pyrimidine nucleobase biosynthetic process"
"TGGT1_293730","TGGT1_293730-t26_1","GO:0016021","integral component of membrane","palmitoyltransferase activity;protein binding;zinc ion binding","GO:0016409;GO:0005515;GO:0008270","N/A","N/A"
"TGGT1_293810","TGGT1_293810-t26_1","N/A","N/A","catalytic activity;methylisocitrate lyase activity","GO:0003824;GO:0046421","GO:0008152","metabolic process"
"TGGT1_293870","TGGT1_293870-t26_1","GO:0005623","obsolete cell","antioxidant activity;oxidoreductase activity;protein-disulfide reductase (NAD(P)) activity;protein-disulfide reductase activity","GO:0016209;GO:0016491;GO:0047134;GO:0015035","GO:0045454;GO:0006662;GO:0055114","cell redox homeostasis;glycerol ether metabolic process;obsolete oxidation-reduction process"
"TGGT1_294040","TGGT1_294040-t26_1","GO:0005783;GO:0016021","endoplasmic reticulum;integral component of membrane","ER retention sequence binding","GO:0046923","GO:0006621","protein retention in ER lumen"
"TGGT1_294260","TGGT1_294260-t26_1","N/A","N/A","ATP binding;calmodulin-dependent protein kinase activity;protein kinase activity","GO:0005524;GO:0004683;GO:0004672","GO:0006468","protein phosphorylation"
"TGGT1_294330","TGGT1_294330-t26_1","GO:0016021;GO:0016020","integral component of membrane;membrane","protein binding","GO:0005515","GO:0009405","obsolete pathogenesis"
"TGGT1_294340","TGGT1_294340-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"TGGT1_294380","TGGT1_294380-t26_1","N/A","N/A","catalytic activity;cysteine desulfurase activity;nucleic acid binding","GO:0003824;GO:0031071;GO:0003676","GO:0008152","metabolic process"
"TGGT1_294560","TGGT1_294560-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"TGGT1_294610","TGGT1_294610-t26_1","N/A","N/A","methyltransferase activity;protein binding","GO:0008168;GO:0005515","GO:0032259","methylation"
"TGGT1_294690","TGGT1_294690-t26_1","GO:0016021;GO:0005886","integral component of membrane;plasma membrane","serine-type endopeptidase activity","GO:0004252","GO:0006508","proteolysis"
"TGGT1_294790","TGGT1_294790-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"TGGT1_294860","TGGT1_294860-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"TGGT1_294970","TGGT1_294970-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"TGGT1_295110","TGGT1_295110-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"TGGT1_295360","TGGT1_295360-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"TGGT1_295420","TGGT1_295420-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"TGGT1_295460","TGGT1_295460-t26_1","GO:0016021","integral component of membrane","N/A","N/A","GO:0016192","vesicle-mediated transport"
"TGGT1_295760","TGGT1_295760-t26_1","N/A","N/A","ATP binding;calcium ion binding;calmodulin-dependent protein kinase activity;protein kinase activity","GO:0005524;GO:0005509;GO:0004683;GO:0004672","GO:0006468","protein phosphorylation"
"TGGT1_295850","TGGT1_295850-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"TGGT1_296000","TGGT1_296000-t26_1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"TGGT1_297120","TGGT1_297120-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"TGGT1_297180","TGGT1_297180-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"TGGT1_297245","TGGT1_297245-t26_1","GO:0016021","integral component of membrane","transmembrane transporter activity","GO:0022857","GO:0055085","transmembrane transport"
"TGGT1_297430","TGGT1_297430-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"TGGT1_297510","TGGT1_297510-t26_1","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A"
"TGGT1_297520","TGGT1_297520-t26_1","GO:0005737","cytoplasm","microtubule binding","GO:0008017","N/A","N/A"
"TGGT1_297640","TGGT1_297640-t26_1","N/A","N/A","1-acylglycerol-3-phosphate O-acyltransferase activity;acyltransferase activity","GO:0003841;GO:0016746","GO:0008152","metabolic process"
"TGGT1_297810","TGGT1_297810-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"TGGT1_297870","TGGT1_297870-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"TGGT1_297880","TGGT1_297880-t26_1","N/A","N/A","N/A","N/A","N/A","N/A"
"TGGT1_298010","TGGT1_298010-t26_1","N/A","N/A","protein binding","GO:0005515","N/A","N/A"
"TGGT1_299060","TGGT1_299060-t26_1","GO:0045177;GO:0016021","apical part of cell;integral component of membrane","solute:proton antiporter activity","GO:0015299","GO:0006812;GO:0055085","cation transport;transmembrane transport"
"TGGT1_299190","TGGT1_299190-t26_1","GO:0005622","intracellular anatomical structure","zinc ion binding","GO:0008270","N/A","N/A"
